file_name,sample_rate,num_frames,num_channel,bit_depth,encoding
normal__201108011118.wav,44100,349958,1,16,PCM_S
normal__201108011115.wav,44100,349958,1,16,PCM_S
normal__201108011114.wav,44100,349958,1,16,PCM_S
normal__201108011112.wav,44100,349958,1,16,PCM_S
normal__201106221450.wav,44100,396900,1,16,PCM_S
normal__201106221418.wav,44100,308823,1,16,PCM_S
normal__201106151236.wav,44100,342727,1,16,PCM_S
normal__201105151450.wav,44100,332408,1,16,PCM_S
normal__201105021804.wav,44100,396900,1,16,PCM_S
normal__201105021654.wav,44100,352677,1,16,PCM_S
normal__201105011626.wav,44100,396900,1,16,PCM_S
normal__201104141251.wav,44100,336831,1,16,PCM_S
normal__201104122156.wav,44100,396900,1,16,PCM_S
normal__201103170121.wav,44100,354151,1,16,PCM_S
normal__201103151912.wav,44100,396900,1,16,PCM_S
normal__201103140822.wav,44100,353414,1,16,PCM_S
normal__201103140135.wav,44100,350466,1,16,PCM_S
normal__201103140132.wav,44100,396900,1,16,PCM_S
normal__201103101140.wav,44100,396900,1,16,PCM_S
normal__201103090635.wav,44100,353414,1,16,PCM_S
normal__201102270940.wav,44100,396900,1,16,PCM_S
normal__201102201230.wav,44100,396900,1,16,PCM_S
normal__201102081321.wav,44100,347886,1,16,PCM_S
normal__201102081152.wav,44100,315088,1,16,PCM_S
normal__201101151127.wav,44100,396900,1,16,PCM_S
normal__201101070538.wav,44100,391787,1,16,PCM_S
murmur__201108222258.wav,44100,349958,1,16,PCM_S
murmur__201108222256.wav,44100,349958,1,16,PCM_S
murmur__201108222255.wav,44100,349958,1,16,PCM_S
murmur__201108222253.wav,44100,349958,1,16,PCM_S
murmur__201108222252.wav,44100,349958,1,16,PCM_S
murmur__201108222251.wav,44100,349958,1,16,PCM_S
murmur__201108222248.wav,44100,349958,1,16,PCM_S
murmur__201108222246.wav,44100,349958,1,16,PCM_S
murmur__201108222245.wav,44100,349958,1,16,PCM_S
murmur__201108222243.wav,44100,349958,1,16,PCM_S
murmur__201108222242.wav,44100,349958,1,16,PCM_S
murmur__201108222238.wav,44100,349958,1,16,PCM_S
murmur__201108222237.wav,44100,349958,1,16,PCM_S
murmur__201108222236.wav,44100,349958,1,16,PCM_S
murmur__201108222235.wav,44100,349958,1,16,PCM_S
murmur__201108222233.wav,44100,349958,1,16,PCM_S
murmur__201108222232.wav,44100,349958,1,16,PCM_S
murmur__201108222231.wav,44100,349958,1,16,PCM_S
murmur__201108222227.wav,44100,349958,1,16,PCM_S
murmur__201108222226.wav,44100,349958,1,16,PCM_S
murmur__201108222224.wav,44100,349958,1,16,PCM_S
murmur__201108222223.wav,44100,349958,1,16,PCM_S
murmur__201108222221.wav,44100,349958,1,16,PCM_S
murmur__201104241315.wav,44100,396900,1,16,PCM_S
murmur__201103291548.wav,44100,330934,1,16,PCM_S
murmur__201102052338.wav,44100,396900,1,16,PCM_S
murmur__201102051443.wav,44100,300715,1,16,PCM_S
murmur__201101180902.wav,44100,354318,1,16,PCM_S
murmur__201101051114.wav,44100,391787,1,16,PCM_S
murmur__201101051108.wav,44100,391787,1,16,PCM_S
murmur__201101051104.wav,44100,391787,1,16,PCM_S
extrahls__201103200218.wav,44100,396900,1,16,PCM_S
extrahls__201103182227.wav,44100,396900,1,16,PCM_S
extrahls__201103170134.wav,44100,347518,1,16,PCM_S
extrahls__201103150114.wav,44100,396900,1,16,PCM_S
extrahls__201102241217.wav,44100,396900,1,16,PCM_S
extrahls__201102071835.wav,44100,346781,1,16,PCM_S
extrahls__201102070251.wav,44100,353414,1,16,PCM_S
extrahls__201101241433.wav,44100,396900,1,16,PCM_S
extrahls__201101241423.wav,44100,396900,1,16,PCM_S
extrahls__201101160804.wav,44100,309467,1,16,PCM_S
extrahls__201101152255.wav,44100,353954,1,16,PCM_S
extrahls__201101091153.wav,44100,396900,1,16,PCM_S
extrahls__201101070953.wav,44100,391787,1,16,PCM_S
Aunlabelledtest__201108222257.wav,44100,349958,1,16,PCM_S
Aunlabelledtest__201108222254.wav,44100,349958,1,16,PCM_S
Aunlabelledtest__201108222247.wav,44100,349958,1,16,PCM_S
Aunlabelledtest__201108222244.wav,44100,349958,1,16,PCM_S
Aunlabelledtest__201108222241.wav,44100,349958,1,16,PCM_S
Aunlabelledtest__201108222234.wav,44100,349958,1,16,PCM_S
Aunlabelledtest__201108222228.wav,44100,349958,1,16,PCM_S
Aunlabelledtest__201108222225.wav,44100,349958,1,16,PCM_S
Aunlabelledtest__201108222222.wav,44100,349958,1,16,PCM_S
Aunlabelledtest__201108011117.wav,44100,349958,1,16,PCM_S
Aunlabelledtest__201108011116.wav,44100,349958,1,16,PCM_S
Aunlabelledtest__201108011113.wav,44100,349958,1,16,PCM_S
Aunlabelledtest__201108011111.wav,44100,349958,1,16,PCM_S
Aunlabelledtest__201106212102.wav,44100,396900,1,16,PCM_S
Aunlabelledtest__201106191034.wav,44100,396900,1,16,PCM_S
Aunlabelledtest__201106171155.wav,44100,396900,1,16,PCM_S
Aunlabelledtest__201106170857.wav,44100,396900,1,16,PCM_S
Aunlabelledtest__201106150614.wav,44100,396900,1,16,PCM_S
Aunlabelledtest__201106130440.wav,44100,396900,1,16,PCM_S
Aunlabelledtest__201106120928.wav,44100,396900,1,16,PCM_S
Aunlabelledtest__201106111419.wav,44100,396900,1,16,PCM_S
Aunlabelledtest__201106100606.wav,44100,396900,1,16,PCM_S
Aunlabelledtest__201106061215.wav,44100,396900,1,16,PCM_S
Aunlabelledtest__201106061104.wav,44100,396900,1,16,PCM_S
Aunlabelledtest__201106040930.wav,44100,396900,1,16,PCM_S
Aunlabelledtest__201106031556.wav,44100,396900,1,16,PCM_S
Aunlabelledtest__201106030607.wav,44100,396900,1,16,PCM_S
Aunlabelledtest__201106010807.wav,44100,396900,1,16,PCM_S
Aunlabelledtest__201105031730.wav,44100,334619,1,16,PCM_S
Aunlabelledtest__20110501548.wav,44100,396900,1,16,PCM_S
Aunlabelledtest__201105011546.wav,44100,396900,1,16,PCM_S
Aunlabelledtest__201103241336.wav,44100,349360,1,16,PCM_S
Aunlabelledtest__201103232251.wav,44100,396900,1,16,PCM_S
Aunlabelledtest__201103200518.wav,44100,377737,1,16,PCM_S
Aunlabelledtest__201103170122.wav,44100,379948,1,16,PCM_S
Aunlabelledtest__201103140236.wav,44100,396900,1,16,PCM_S
Aunlabelledtest__201103011036.wav,44100,396900,1,16,PCM_S
Aunlabelledtest__201102200848.wav,44100,351572,1,16,PCM_S
Aunlabelledtest__201102081045.wav,44100,379948,1,16,PCM_S
Aunlabelledtest__201102081033.wav,44100,314351,1,16,PCM_S
Aunlabelledtest__201101241434.wav,44100,396900,1,16,PCM_S
Aunlabelledtest__201101220549.wav,44100,396900,1,16,PCM_S
Aunlabelledtest__201101152256.wav,44100,346679,1,16,PCM_S
Aunlabelledtest__201101110659.wav,44100,333882,1,16,PCM_S
Aunlabelledtest__201101091156.wav,44100,396900,1,16,PCM_S
Aunlabelledtest__201101051105.wav,44100,347770,1,16,PCM_S
Aunlabelledtest__201012172010.wav,44100,396900,1,16,PCM_S
artifact__201106221254.wav,44100,396900,1,16,PCM_S
artifact__201106220340.wav,44100,396900,1,16,PCM_S
artifact__201106212112.wav,44100,396900,1,16,PCM_S
artifact__201106211430.wav,44100,396900,1,16,PCM_S
artifact__201106211041.wav,44100,396900,1,16,PCM_S
artifact__201106190520.wav,44100,396900,1,16,PCM_S
artifact__201106171003.wav,44100,396900,1,16,PCM_S
artifact__201106161219.wav,44100,396900,1,16,PCM_S
artifact__201106161019.wav,44100,396900,1,16,PCM_S
artifact__201106161016.wav,44100,396900,1,16,PCM_S
artifact__201106141701.wav,44100,396900,1,16,PCM_S
artifact__201106131835.wav,44100,396900,1,16,PCM_S
artifact__201106131834.wav,44100,396900,1,16,PCM_S
artifact__201106121445.wav,44100,396900,1,16,PCM_S
artifact__201106121242.wav,44100,396900,1,16,PCM_S
artifact__201106111119.wav,44100,396900,1,16,PCM_S
artifact__201106110909.wav,44100,396900,1,16,PCM_S
artifact__201106101955.wav,44100,396900,1,16,PCM_S
artifact__201106101314.wav,44100,396900,1,16,PCM_S
artifact__201106070949.wav,44100,396900,1,16,PCM_S
artifact__201106070537.wav,44100,396900,1,16,PCM_S
artifact__201106061233.wav,44100,396900,1,16,PCM_S
artifact__201106050353.wav,44100,396900,1,16,PCM_S
artifact__201106041452.wav,44100,396900,1,16,PCM_S
artifact__201106040947.wav,44100,396900,1,16,PCM_S
artifact__201106040933.wav,44100,396900,1,16,PCM_S
artifact__201106040722.wav,44100,396900,1,16,PCM_S
artifact__201106031558.wav,44100,396900,1,16,PCM_S
artifact__201106030612.wav,44100,396900,1,16,PCM_S
artifact__201106021541.wav,44100,396900,1,16,PCM_S
artifact__201106010602.wav,44100,396900,1,16,PCM_S
artifact__201106010559.wav,44100,396900,1,16,PCM_S
artifact__201105280851.wav,44100,396900,1,16,PCM_S
artifact__201105190800.wav,44100,396900,1,16,PCM_S
artifact__201105061143.wav,44100,396900,1,16,PCM_S
artifact__201105060108.wav,44100,396900,1,16,PCM_S
artifact__201105051017.wav,44100,396900,1,16,PCM_S
artifact__201105041959.wav,44100,396900,1,16,PCM_S
artifact__201105040918.wav,44100,396900,1,16,PCM_S
artifact__201012172012.wav,44100,396900,1,16,PCM_S
